year,color,mileage,motor,shasi,body,Insurance,price
۱۳۹۰,سفید,۱۷۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,۳۲۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۵۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,۵۱۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۴,بژ,۲۳۶٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,۱۹۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۶۵٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,۳۹۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید صدفی,۱۲۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۳۵۸٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۲۳٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,۴۵۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۸۷٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,۳۶۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۴۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,۴۰۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۸۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۰۹٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۰,,,سالم و بی‌خط و خش,,۱۱۱٬۱۱۱٬۱۱۱ تومان
۱۳۹۱,سفید,۱۴۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,۳۰۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۵,سفید,۱۸۰٬۰۰۰,سالم,ضربه‌خورده,خط و خش جزیی,۵ ماه,۳۲۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۹۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۷ ماه,۳۴۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۱,سفید,۱۶۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,۲۵۸٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,نوک‌مدادی,۲٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,۲۱۰٬۰۰۰٬۰۰۰ تومان
